SIGLA|DISCIPLINA|T|P|I|RECOMENDAÇÃO
ESZE100-17|Refino do Petróleo|4|0|4|Engenharia de Petróleo e Gás
ESZE090-17|Refrigeração e Condicionamento de Ar|4|0|4|Termodinâmica Aplicada II
ESZR022-16|Refugiados: Direito e Política|4|0|4|Não há
ESHR028-14|Regime Internacional dos Direitos Humanos e a Atuação Brasileira|4|0|4|Direito Internacional Público
ESZR017-14|Regimes de Negociação Ambiental Internacional e a Atuação Brasileira|4|0|4|Desenvolvimento e Sustentabilidade
ESZR018-14|Regimes de Negociação Comercial Internacional e a Atuação Brasileira|4|0|4|Sistema ONU e os desafios do multilateralismo
ESZR019-14|Regimes de Negociação Financeira Internacional e a Atuação Brasileira|4|0|4|Sistema Financeiro Internacional: de Bretton Woods ao non-sistema
ESHP019-13|Regimes e Formas De Governo|4|0|4|Estado e Relações de Poder
ESTU039-17|Regulação Ambiental e Urbanística|2|0|4|Não há
ESZP010-13|Regulação e Agências Reguladoras no Contexto Brasileiro|4|0|4|Não há
ESZE078-17|Regulação e Mercado de Energia Elétrica|2|0|4|Introdução aos Sistemas Elétricos de Potência
ESHR014-13|Relações Internacionais e Globalização|4|0|4|Formação do Sistema Internacional
ESTM015-17|Reologia|3|1|4|Fenômenos de Transporte; Mecânica dos Sólidos I
ESTU032-17|Representação Gráfica de Projetos Ambientais e Urbanos|0|4|4|Fundamentos de Desenho Técnico
NHZ1080-15|Reprodução Assistida em Mamíferos|2|2|2|Biologia celular
ESZE045-17|Resíduos Nucleares|3|0|3|Engenharia Nuclear
ESTU033-17|Resíduos Sólidos|2|1|4|Geotecnia; Microbiologia Ambiental
ESZU031-17|Reúso de Água|2|1|4|Tratamento de Águas Urbanas Servidas; Sistemas de Tratamento de Água
ESZU030-17|Riscos No Ambiente Urbano|3|1|3|Não há
ESZA020-17|Robôs Móveis Autônomos|3|1|4|Fundamentos de Robótica
MCZA044-17|Robótica e Sistemas Inteligentes|2|2|4|Programação Orientada a Objetos; Inteligência Artificial
MCZA045-17|Robótica Educacional|2|2|4|Programação Orientada a Objetos; Inteligência Artificial
ESZT012-17|Saneamento Ambiental|4|0|4|Não há
ESTU015-17|Saúde Ambiental|2|0|3|Não há
ESZU036-17|Saúde, Determinantes Socioambientais e Equidade|3|0|3|Saúde Ambiental
MCTA023-17|Segurança de Dados|3|1|4|Redes de Computadores; Algoritmos e Estruturas de Dados I
ESZE044-17|Segurança de Instalações Nucleares|3|0|4|Engenharia Nuclear
ESZI031-17|Segurança de Redes|3|1|4|Redes de Computadores
ESZT013-17|Segurança dos Territórios|4|0|4|Não há
MCZA025-13|Segurança em Redes|2|2|4|Redes de Computadores
ESHR015-13|Segurança Internacional em perspectiva histórica e desafios contemporâneos|4|0|4|Abordagens tradicionais das Relações Internacionais; Pensamento crítico das Relações Internacionais
ESTM013-17|Seleção de Materiais|4|0|4|Materiais Poliméricos; Materiais Cerâmicos; Materiais Metálicos
MCZA046-17|Semântica de Linguagem de Programação|4|0|4|Programação Orientada a Objetos; Lógica Básica; Linguagens Formais e Automata
MCZD008-18|Seminários de Modalidades Diversas em Educação Matemática|0|2|2|Não há
MCZD009-18|Seminários de Pesquisa em Educação Matemática I|0|2|6|Não há
MCZD010-18|Seminários de Pesquisa em Educação Matemática II|0|2|6|Não há
NHZ1042-15|Seminários em Biologia I|1|0|2|Não há
NHZ1043-15|Seminários em Biologia II|1|0|2|Não há
ESZM001-17|Seminários em Materiais Avançados|2|0|2|Materiais e suas Propriedades; Ciência dos Materiais
NHZ4042-09|Seminários em Química I|2|0|2|Não há
NHZ4043-15|Seminários em Química II|2|0|2|Não há
MCZC012-15|Sensação e Percepção|4|0|4|Introdução à Neurociência ou Morfofisiologia Humana I; Psicologia Cognitiva
ESTB021-17|Sensores Biomédicos|2|0|2|Circuitos elétricos I
ESTA010-17|Sensores e Transdutores|3|1|4|Dispositivos Eletrônicos
ESZU017-17|Sensoriamento Remoto|1|3|2|Não há
MCTB022-17|Sequências e Séries|4|0|4|Introdução às Equações Diferenciais Ordinárias
ESZA010-17|Servo-Sistema para Robôs e Acionamento para Sistemas Mecatrônicos|3|1|4|Máquinas Elétricas
ESZM025-17|Siderurgia e Engenharia dos Aços|4|0|4|Materiais Metálicos
MCTD007-18|Simetrias no Plano Euclidiano|4|0|4|Geometria Plana Axiomática; Fundamentos de Álgebra
ESZG007-17|Simulação de Modelos de Gestão|2|2|4|Pesquisa Operacional
ESZI010-17|Simulação de Sistemas de Comunicação|2|2|4|Processamento Digital de Sinais; Comunicação Digital
ESTI005-17|Sinais Aleatórios|4|0|4|Introdução à Probabilidade e à Estatística; Transformadas em Sinais e Sistemas Lineares
ESZM016-17|Síntese de Polímeros|3|1|4|Funções e Reações Orgânicas
ESTU034-17|Sistema de Abastecimento de Águas|2|1|4|Hidráulica de Condutos Livres; Hidráulica de Condutos Forçados
MCZA026-17|Sistema de Gerenciamento de Banco de Dados|2|2|4|Banco de Dados
ESHR016-13|Sistema Financeiro Internacional: de Bretton Woods ao non-sistema|4|0|4|Introdução à Economia
ESHR017-13|Sistema ONU e os desafios do multilateralismo|4|0|4|Segurança Internacional em perspectiva histórica e desafios contemporâneos
ESTG021-17|Sistemas CAD/CAE|1|3|5|Não há
ESTA014-17|Sistemas CAD/CAM|3|1|4|Fundamentos de Desenho Técnico
ESTG022-17|Sistemas CAM|2|2|4|Sistemas CAD/CAE
ESTA003-17|Sistemas de Controle I|3|2|4|Transformadas em Sinais e Sistemas Lineares
ESTA008-17|Sistemas de Controle II|3|2|4|Sistemas de Controle I
ESTU036-17|Sistemas de Drenagem Urbana|2|1|4|Hidráulica de Condutos Livres; Hidráulica de Condutos Forçados; Hidrologia
ESTU035-17|Sistemas de Esgotamento Sanitário|2|1|4|Hidráulica de Condutos Livres; Hidráulica de Condutos Forçados
MCZA027-17|Sistemas de Informação|4|0|4|Não há
ESTG024-17|Sistemas de Informação Corporativos|2|2|5|Gestão de Operações
ESZI019-17|Sistemas de Micro-Ondas|3|1|4|Ondas Eletromagnéticas Aplicadas; Eletrônica Analógica Aplicada
ESZE074-17|Sistemas de Potência I|4|0|4|Introdução aos Sistemas Elétricos de Potência
ESZE009-17|Sistemas de Potência II|2|2|4|Sistemas de Potência I
ESTS017-17|Sistemas de Propulsão I|3|1|5|Dinâmica de Gases
ESZS021-17|Sistemas de Propulsão II|3|1|5|Dinâmica de Gases; Sistemas de Propulsão I
ESTU037-17|Sistemas de Tratamento de Água|2|1|4|Hidráulica de Condutos Livres; Hidráulica de Condutos Forçados; Caracterização de Matrizes Ambientais
MCTA024-13|Sistemas Digitais|2|2|4|Circuitos Digitais
MCTA025-13|Sistemas Distribuídos|3|1|4|Redes de Computadores
ESTG020-17|Sistemas e Processos de Produção|2|2|4|Introdução aos Processos de Fabricação Metal - Mecânico
ESZB026-17|Sistemas Embarcados para Engenharia Biomédica|0|4|4|Instrumentação Biomédica I; Computação Científica aplicada a Problemas Biológicos
ESZE106-17|Sistemas Fotovoltaicos Conectados à Rede Elétrica|4|0|4|Engenharia Solar Fotovoltaica; Instalações Elétricas I
ESZE107-17|Sistemas Fotovoltaicos Isolados|4|0|4|Engenharia Solar Fotovoltaica; Instalações Elétricas I
ESZI014-17|Sistemas Inteligentes|3|1|4|Programação Estruturada; Álgebra Linear
ESTI013-17|Sistemas Microprocessados|2|2|4|Eletrônica Digital; Dispositivos Eletrônicos
MCZA028-13|Sistemas Multiagentes|3|1|4|Processamento da Informação; Programação Orientada a Objetos
MCZA029-13|Sistemas Multimídia|2|2|4|Computação Gráfica
MCZA047-17|Sistemas Multi-Robôs Sociais|2|2|4|Inteligência Artificial; Sistemas Multiagentes
MCTA026-13|Sistemas Operacionais|3|1|4|Arquitetura de Computadores
ESTE014-17|Sistemas Térmicos|0|4|4|Termodinâmica Aplicada I; Termodinâmica Aplicada II
ESZE072-17|Sistemas Termosolares|2|0|2|Engenharia Solar Térmica
NHT1048-15|Sistemática e Biogeografia|2|2|4|Evolução e Diversificação da Vida na Terra
ESHR018-13|Sociedade Civil Organizada Global|4|0|4|Não há
ESHT023-17|Sociologia dos Territórios|4|0|4|Não há
ESZE006-17|Subestação e Equipamentos|2|0|4|Introdução aos Sistemas Elétricos de Potência
ESZA015-17|Supervisão e Monitoramento de Processos Energéticos|1|3|4|Automação de Sistemas Industriais
ESHR019-13|Surgimento da China como Potência Mundial|4|0|4|Relações Internacionais e Globalização
ESZT014-17|Sustentabilidade e Indicadores|4|0|4|Não há
ESHR901-13|TCC de Relações Internacionais I|0|2|6|Metodologia de Pesquisa em RI
ESHR902-13|TCC de Relações Internacionais II|0|2|6|TCC de Relações Internacionais I; Metodologia de Pesquisa em Relações Internacionais
NHZ1081-13|Técnicas Aplicadas a Processos Biotecnológicos|4|2|4|Não há
MCZA050-17|Técnicas Avançadas de Programação|2|2|4|Algoritmos e Estruturas de Dados I
ESTS010-17|Técnicas de Análise Estrutural e Projeto|3|1|4|Mecânica dos Sólidos I
ESHC904-17|Técnicas de Pesquisa em Economia|2|3|0|CPK >= 0,5 no Bacharelado em Ciências Econômicas
ESZG004-17|Técnicas de Tomadas de Decisão Aplicáveis em Modelos de Dependência|2|2|4|Estatística Aplicada a Sistemas de Gestão
ESZG005-17|Técnicas de Tomadas de Decisão Aplicáveis em Modelos de Interdependência|2|2|4|Técnicas de Tomadas de Decisão aplicáveis em Modelos de Dependência
ESZB009-17|Técnicas Modernas em Fotodiagnóstico|3|1|4|Física Médica I; Introdução à Biofotônica e Óptica Biomédica; Laboratório de Física Médica
ESZB008-17|Técnicas Modernas em Fototerapia|3|1|4|Física Médica I; Introdução à Biofotônica e Óptica Biomédica; Laboratório de Física Médica
ESZE081-17|Tecnologia da Combustão|4|0|4|Termodinâmica Aplicada I; Termodinâmica Aplicada II
NHZ4065-15|Tecnologia de Alimentos|2|2|2|Química Analítica Clássica I; Química Analítica Clássica II
NHZ4070-15|Tecnologia de Biomateriais|3|1|4|Não há
ESZM013-17|Tecnologia de Elastômeros|4|0|4|Materiais Poliméricos; Funções e Reações Orgânicas
ESZI018-17|Tecnologia de Redes Ópticas|4|0|4|Comunicações Ópticas
NHZ3052-15|Tecnologia do Vácuo e Criogenia|2|2|4|Princípios de Termodinâmica; Mecânica Quântica I; Estado Sólido
ESZU033-17|Tecnologias Alternativas de Tratamento de Água e Efluentes|2|1|3|Tratamento de Águas Urbanas Servidas; Sistemas de Tratamento de Água
NHZ5019-15|Tecnologias da Informação e Comunicação na Educação|3|0|3|Não há
ESZP031-13|Tecnologias Sociais|4|0|4|Não há
ESZI040-17|Telefonia Fixa e VoIP|3|1|4|Redes de Computadores; Princípios de Comunicação
ESZB016-17|Telemedicina e Sistemas de Apoio a Decisão|2|2|5|Bioestatística; Gestão de Tecnologia Hospitalar I
ESHP020-13|Temas Contemporâneos|2|2|4|Não há
NHZ2066-11|Temas da Filosofia Antiga|4|0|4|Não há
NHZ2067-11|Temas da Filosofia Contemporânea|4|0|4|Não há
NHZ2068-11|Temas da Filosofia Medieval|4|0|4|Não há
NHZ2069-11|Temas da Filosofia Moderna|4|0|4|Não há
NHZ2070-11|Temas de Lógica|4|0|4|Bases Epistemológicas da Ciência Moderna; Pensamento Crítico; Lógica Básica; Filosofia da Lógica
BHP0201-15|Temas e Problemas em Filosofia|4|0|4|Não há
ESTG019-17|Tempos, Métodos e Arranjos Físicos|2|2|5|Organização do Trabalho
MCZD007-18|Tendências em Educação Matemática|2|2|4|Não há
MCTB023-17|Teoria Aritmética dos Números|4|0|4|Não há
MCZB029-17|Teoria Aritmética dos Números II|4|0|4|Teoria Aritmética dos Números
MCZB030-17|Teoria Axiomática de Conjuntos|4|0|4|Bases Matemáticas; Funções de Uma Variável; Bases Epistemológicas da Ciência Moderna; Matemática Discreta; Lógica Básica
MCZB038-17|Teoria Básica de Categorias|4|0|4|Bases Matemáticas; Funções de Uma Variável; Grupos; Teoria de Conjuntos
MCZB039-17|Teoria Básica de Modelos|4|0|4|Bases Matemáticas; Funções de Uma Variável; Grupos; Lógica Básica; (Teoria Axiomática de Conjuntos ou Teoria de Conjuntos)
NHZ3053-15|Teoria Clássica dos Campos|4|0|4|Mecânica Clássica II; Eletromagnetismo II; Teoria da Relatividade
NHZ2071-11|Teoria Crítica e Escola de Frankfurt|4|0|4|Não há
ESZS011-17|Teoria da Elasticidade|4|0|5|Mecânica dos Sólidos I
ESTI008-17|Teoria da Informação e Códigos|4|0|4|Comunicação Digital
MCTB020-17|Teoria da Medida e Integração|4|0|4|Análise Real II
MCZB033-17|Teoria da Recursão e Computabilidade|4|0|4|Bases Matemáticas; Funções de Uma Variável; Bases Epistemológicas da Ciência Moderna; Matemática Discreta; Lógica Básica
NHT3054-15|Teoria da Relatividade|4|0|4|Eletromagnetismo I; Eletromagnetismo II; Mecânica Quântica I; Cálculo Vetorial e Tensorial
MCZB034-18|Teoria das Distribuições|4|0|4|Cálculo Vetorial e Tensorial
MCZB032-13|Teoria das Filas|4|0|4|Introdução à Modelagem e Processos Estocásticos
ESTA022-17|Teoria de Acionamentos Elétricos|4|0|4|Máquinas Elétricas
MCZB041-17|Teoria de Conjuntos|4|0|4|Bases Matemáticas; Funções de Uma Variável; Bases Epistemológicas da Ciência Moderna; Matemática Discreta; Lógica Básica
ESZA006-17|Teoria de Controle Ótimo|3|0|4|Modelagem e Controle
ESTI020-17|Teoria de Filas e Análise de Desempenho|3|1|4|Sinais Aleatórios; Redes de Computadores
NHZ3056-15|Teoria de Grupos em Física|4|0|4|Mecânica Quântica I; Cálculo Vetorial e Tensorial
NHZ4067-15|Teoria de Grupos: Moléculas e Sólidos|2|0|2|Estrutura da Matéria
NHZ5015-09|Teoria do Conhecimento Científico|4|0|4|Não há
NHH2072-13|Teoria do Conhecimento: a Epistemologia Contemporânea|4|0|4|Teoria do Conhecimento: Empirismo versus Racionalismo; Lógica Básica
NHH2073-13|Teoria do Conhecimento: Empirismo versus Racionalismo|4|0|4|Não há
ESTU019-17|Teoria do Planejamento Urbano e Ambiental|3|0|4|Não há
MCTA027-17|Teoria dos Grafos|3|1|4|Matemática Discreta; Processamento da Informação; Algoritmos e Estruturas de Dados I
MCZB031-17|Teoria dos Jogos|4|0|4|Bases Matemáticas; Funções de Uma variável; Funções de Várias Variáveis; Álgebra Linear
ESHP029-14|Teoria e Gestão de Organizações Públicas|4|0|4|Não há
ESZR020-16|Teoria e Prática da Cooperação Internacional e da Ajuda Humanitária|4|0|4|Não há
NHT3055-13|Teoria Eletromagnética|4|2|6|Fenômenos Eletromagnéticos; Funções de Várias Variáveis; Introdução às Equações Diferenciais Ordinárias
MCZA048-17|Teoria Espectral de Grafos|4|0|4|Álgebra Linear; Teoria dos Grafos
ESTO014-17|Termodinâmica Aplicada I|4|0|5|Fenômenos Térmicos
ESTE021-17|Termodinâmica Aplicada II|4|0|5|Termodinâmica Aplicada I
ESTM018-17|Termodinâmica de Materiais|4|0|6|Funções de Uma Variável; Funções de Várias Variáveis
ESTM009-17|Termodinâmica Estatística de Materiais|4|0|4|Fenômenos Térmicos; Termodinâmica de Materiais
NHT4057-15|Termodinâmica Química|4|0|6|Transformações Químicas; Princípios de Termodinâmica
ESZE099-17|Termo-Hidráulica de Reatores Nucleares|4|0|6|Engenharia Nuclear; Transferência de Calor I; Mecânica dos Fluidos I; Termodinâmica Aplicada II
ESZT015-17|Território e Logística|4|0|4|Não há
BHQ0301-15|Território e Sociedade|4|0|4|Não há
MCZC011-15|Tomada de Decisões e Neuroeconomia|4|0|4|Psicologia Cognitiva
BHS0003-17|Tópicos Avançados de Ciências e Humanidades|4|0|4|Introdução às Humanidades e às Ciências Sociais; Práticas em Ciências e Humanidades
ESZC022-17|Tópicos Avançados em Desenvolvimento Socioeconômico|4|0|4|Desenvolvimento Socioeconômico
ESZC026-17|Tópicos Avançados em Economia e Planejamento Territorial|4|0|4|Microeconomia I; Econometria I
ESZC023-17|Tópicos Avançados em Economia Institucional|4|0|4|Economia Institucional I; Economia Institucional II
ESZC024-17|Tópicos Avançados em História Econômica|4|0|4|História Econômica Geral
ESZC017-17|Tópicos Avançados em Macroeconomia|4|0|4|Macroeconomia I; Macroeconomia II; Macroeconomia III
ESZC021-17|Tópicos Avançados em Microeconomia|4|0|4|Microeconomia I; Microeconomia II
NHZ2074-11|Tópicos Avançados em Modalidades: Lógica Deôntica e Lógica Epistêmica|2|0|2|Fundamentos da lógica modal
NHT4055-15|Tópicos Avançados em Química Orgânica|2|0|2|Funções e Reações Orgânicas; Mecanismos de Reações Orgânicas
ESTM003-17|Tópicos Computacionais em Materiais|2|2|5|Cálculo Numérico; Materiais e suas Propriedades
NHZ2099-16|Tópicos Contemporâneos em Educação e Filosofia|4|0|4|Não há
MCZB040-17|Tópicos de Análise de Fourier|4|0|4|Sequências e Séries; Análise Real II
MCZD006-18|Tópicos de Ensino de Astronomia na Educação Básica|2|2|4|Não há
NHZ2100-16|Tópicos de Filosofia e Práticas de Ensino|4|0|4|Não há
NHZ2075-11|Tópicos de História da Ciência|4|0|4|Nascimento e Desenvolvimento da Ciência Moderna
NHZ2076-11|Tópicos de Lógicas Não-Clássicas|4|0|4|Lógica Básica
ESZE079-17|Tópicos de Otimização em Sistemas Elétricos de Potência e Aplicações|0|2|4|Introdução aos Sistemas Elétricos de Potência
NHZ3058-15|Tópicos em Física Experimental|1|3|4|A definir no momento do oferecimento
NHZ3057-15|Tópicos em Física Teórica|4|0|4|A definir no momento do oferecimento
NHZ2077-11|Tópicos em Teoria do Conhecimento|4|0|4|Teoria do Conhecimento: Empirismo versus Racionalismo
MCZA049-17|Tópicos Emergentes em Banco de Dados|4|0|4|Banco de Dados
ESZC033-17|Tópicos Especiais em Economia Financeira|4|0|4|Finanças I; Finanças II
ESZU018-17|Tópicos Especiais em Engenharia Ambiental e Urbana|3|1|4|Não há
ESZT018-17|Tópicos Especiais em Planejamento Territorial|4|0|4|Não há
ESTM002-17|Tópicos Experimentais em Materiais I|0|4|4|Materiais e suas Propriedades; Métodos Experimentais em Engenharia
ESZM012-17|Tópicos Experimentais em Materiais II|0|4|4|Tópicos Experimentais em Materiais I
MCTB026-17|Topologia|4|0|4|Análise Real I
NHZ1050-15|Toxicologia|4|2|4|Bioquímica: estrutura, propriedade e funções de biomoléculas
ESHP902-14|Trabalho de Conclusão de Curso de Políticas Públicas I|0|3|6|Observatório de Políticas Públicas
ESHP903-14|Trabalho de Conclusão de Curso de Políticas Públicas II|0|3|6|Observatório de Políticas Públicas
NHT1049-15|Trabalho de Conclusão de Curso em Biologia|2|0|2|O aluno deverá se matricular na disciplina de TCC em Biologia (NHT1049-15) quando desejar apresentar o Trabalho, mas recomenda-se que a matrícula seja realizada no último quadrimestre do curso de BCB ou após a conclusão de todas as disciplinas obrigatórias do curso, inclusive a disciplina de Projeto Dirigido (BCS0002-15) que fornecerá informações sobre a elaboração e desenvolvimento de projetos científicos, fundamentais para o bom desenvolvimento do TCC
NHT3089-15|Trabalho de Conclusão de Curso em Física|2|0|10|CPk no Bacharelado em Física igual ou maior que 0,8
MCTB024-13|Trabalho de Conclusão de Curso em Matemática I|0|2|4|Não há
MCTB025-13|Trabalho de Conclusão de Curso em Matemática II|0|2|4|Trabalho de Conclusão de Curso em Matemática I
MCTB027-13|Trabalho de Conclusão de Curso em Matemática III|0|2|4|Trabalho de Conclusão de Curso em Matemática II
NHT4046-15|Trabalho de Conclusão de Curso em Química|2|0|2|O aluno precisa cumprir as exigências apresentadas na Resolução ConsEP n0 84, de agosto de 2010
ESHT902-17|Trabalho de Conclusão de Curso I de Planejamento Territorial|0|2|12|CPk ≥ 0,7 no BPT
ESHT903-17|Trabalho de Conclusão de Curso II de Planejamento Territorial|0|2|12|Trabalho de Conclusão de Curso I de Planejamento Territorial; Arranjos Institucionais e Marco Regulatório do Território; Biodiversidade: Interações entre organismos e ambiente; Cartografia e Geoprocessamento para o Planejamento Territorial; Demografia; Desenvolvimento Econômico e Social No Brasil; Economia do Território; Economia Urbana; Estudos do Meio Físico; Governança Pública, Democracia e Políticas No Território; História da Cidade e do Urbanismo; Métodos de Planejamento; Métodos e Técnicas de Análise de Informação para o Planejamento; Mobilização Produtiva dos Territórios e Desenvolvimento Local; Oficina de Planejamento de Áreas Periurbanas, Interioranas e Rurais; Oficina de Planejamento e Governança Metropolitana; Oficina de Planejamento Macro e Meso Regional; Oficina de Planejamento Urbano; Planejamento e Política Ambiental; Planejamento e Política Regional; Planejamento e Política Rural; Política Metropolitana; Política Urbana; Regulação Ambiental e Urbanística; Sociologia dos Territórios; Trabalho de Conclusão de Curso I de Planejamento Territorial; Trabalho de Conclusão de Curso II de Planejamento Territorial; Uso do Solo Urbano
ESHR904-18|Trabalho de Conclusão de Curso II em Relações Internacionais (TCC 2)|0|2|6|Metodologia de Pesquisa em Relações Internacionais (TCC 1)
ESHR905-18|Trabalho de Conclusão de Curso III em Relações Internacionais (TCC 3)|0|2|6|Trabalho de Conclusão de Curso II em Relações Internacionais (TCC 2)
ESHC905-17|Trabalho de Graduação I em Ciências Econômicas|0|8|0|Técnicas de Pesquisa em Economia
ESTS902-17|Trabalho de Graduação I em Engenharia Aeroespacial|0|2|4|Ver resolução de TG específica para o curso
ESTU902-17|Trabalho de Graduação I em Engenharia Ambiental e Urbana|0|2|4|Ver resolução de TG específica para o curso
ESTB902-17|Trabalho de Graduação I em Engenharia Biomédica|0|2|4|Ver resolução de TG específica para o curso
ESTE902-17|Trabalho de Graduação I em Engenharia de Energia|0|2|4|Ver resolução de TG específica para o curso
ESTG902-17|Trabalho de Graduação I em Engenharia de Gestão|0|2|4|Ver resolução de TG específica para o curso
ESTI902-17|Trabalho de Graduação I em Engenharia de Informação|0|2|4|Ver resolução de TG específica para o curso
ESTA902-17|Trabalho de Graduação I em Engenharia de Instrumentação, Automação e Robótica|0|2|4|Ver resolução de TG específica para o curso
ESTM902-17|Trabalho de Graduação I em Engenharia de Materiais|0|2|4|Ver resolução de TG específica para o curso
ESHC906-17|Trabalho de Graduação II em Ciências Econômicas|0|9|0|Trabalho de Graduação I em Ciências Econômicas
ESTS903-17|Trabalho de Graduação II em Engenharia Aeroespacial|0|2|4|Trabalho de Graduação I em Engenharia Aeroespacial
ESTU903-17|Trabalho de Graduação II em Engenharia Ambiental e Urbana|0|2|4|Trabalho de Graduação I em Engenharia Ambiental e Urbana
ESTB903-17|Trabalho de Graduação II em Engenharia Biomédica|0|2|4|Trabalho de Graduação I em Engenharia Biomédica
ESTE903-17|Trabalho de Graduação II em Engenharia de Energia|0|2|4|Trabalho de Graduação I em Engenharia de Energia
ESTG903-17|Trabalho de Graduação II em Engenharia de Gestão|0|2|4|Trabalho de Graduação I em Engenharia de Gestão
ESTI903-17|Trabalho de Graduação II em Engenharia de Informação|0|2|4|Trabalho de Graduação I em Engenharia de Informação
ESTA903-17|Trabalho de Graduação II em Engenharia de Instrumentação, Automação e Robótica|0|2|4|Trabalho de Graduação I em Engenharia de Instrumentação, Automação e Robótica
ESTM903-17|Trabalho de Graduação II em Engenharia de Materiais|0|2|4|Trabalho de Graduação I em Engenharia de Materiais
ESTS904-17|Trabalho de Graduação III em Engenharia Aeroespacial|0|2|4|Trabalho de Graduação II em Engenharia Aeroespacial
ESTU904-17|Trabalho de Graduação III em Engenharia Ambiental e Urbana|0|2|4|Trabalho de Graduação II em Engenharia Ambiental e Urbana
ESTB904-17|Trabalho de Graduação III em Engenharia Biomédica|0|2|4|Trabalho de Graduação II em Engenharia Biomédica
ESTE904-17|Trabalho de Graduação III em Engenharia de Energia|0|2|4|Trabalho de Graduação II em Engenharia de Energia
ESTG904-17|Trabalho de Graduação III em Engenharia de Gestão|0|2|4|Trabalho de Graduação II em Engenharia de Gestão
ESTI904-17|Trabalho de Graduação III em Engenharia de Informação|0|2|4|Trabalho de Graduação II em Engenharia de Informação
ESTA904-17|Trabalho de Graduação III em Engenharia de Instrumentação, Automação e Robótica|0|2|4|Trabalho de Graduação II em Engenharia de Instrumentação, Automação e Robótica
ESTM904-17|Trabalho de Graduação III em Engenharia de Materiais|0|2|4|Trabalho de Graduação II em Engenharia de Materiais
NHZ1082-15|Trabalhos de Campo, Coleta e Preservação de Organismos|0|4|2|Biodiversidade: Interações entre organismos e ambiente
ESZR013-13|Trajetória da OPEP e da Agência Internacional de Energia (IEA)|4|0|4|Economia política internacional da energia
ESZR014-13|Trajetória de desenvolvimento de países exportadores de petróleo|4|0|4|Economia política internacional da energia
ESZR015-13|Trajetória dos investimentos produtivos no Brasil e do Brasil|4|0|4|Estado e desenvolvimento econômico no Brasil contemporâneo
ESHP021-13|Trajetórias das Políticas de CT&I no Brasil|4|0|4|Não há
ESHR027-14|Trajetórias Internacionais do Continente Africano|4|0|4|Formação do Sistema Internacional
ESTS018-17|Transferência de Calor Aplicada a Sistemas Aeroespaciais|3|1|4|Funções de Várias Variáveis; Termodinâmica Aplicada I
ESZE091-17|Transferência de Calor e Mecânica dos Fluidos Computacional I|0|4|4|Transferência de Calor II; Mecânica dos Fluidos II
ESZE092-17|Transferência de Calor e Mecânica dos Fluidos Computacional II|0|4|4|Transferência de Calor e Mecânica dos Fluidos Computacional I
ESTE022-17|Transferência de Calor I|4|0|4|Fenômenos Térmicos; Funções de Várias Variáveis
ESTE023-17|Transferência de Calor II|4|0|4|Transferência de Calor I
ESZE083-17|Transferência de Calor Industrial|4|0|4|Transferência de Calor II
ESTU020-17|Transferência de Massa|3|1|5|Fenômenos de Transporte ou Termodinâmica I
BCL0307-15|Transformações Químicas|3|2|6|Estrutura da Matéria
ESTI003-17|Transformadas em Sinais e Sistemas Lineares|4|0|4|Funções de Várias Variáveis
ESZE065-17|Transporte de Petróleo e Gás Natural|4|0|4|Materiais e suas Propriedades; Mecânica dos Fluidos II
ESZU019-17|Transportes e Meio Ambiente|0|2|4|Cartografia e Geoprocessamento; Métodos Quantitativos para Planejamento Estratégico; Métodos de Tomada de Decisão Aplicados ao Planejamento Urbano-Ambiental
ESTU021-17|Transportes e Mobilidade Urbana|2|0|4|Não há
ESZU020-17|Transportes, Uso e Ocupação do Solo|1|1|4|Cartografia e Geoprocessamento; Métodos Quantitativos para Planejamento Estratégico; Métodos de Tomada de Decisão Aplicados ao Planejamento Urbano-Ambiental
ESZU032-17|Tratamento Avançado de Águas Residuárias|2|2|4|Tratamento de Águas Urbanas Servidas; Sistemas de Tratamento de Água
ESTU038-17|Tratamento de Águas Urbanas Servidas|2|1|4|Hidráulica de Condutos Livres; Hidráulica de Condutos Forçados; Caracterização de Matrizes Ambientais; Microbiologia Ambiental
ESZE087-17|Turbinas Hidráulicas|0|4|4|Mecânica dos Fluidos II
ESZI028-17|TV Digital|3|1|4|Comunicação Digital
ESZB034-17|Ultrassom Aplicado à Medicina|3|1|4|Circuitos Elétricos I; Física Médica I; Instrumentação Biomédica I; Métodos Matemáticos aplicados a Sistemas Biomédicos
ESZU021-17|Unidades de Conservação da Natureza|3|1|2|Biomas Brasileiros; Conservação da Biodiversidade
ESZT016-17|Urbanização Brasileira|4|0|4|Não há
ESHT024-17|Uso do Solo Urbano|4|0|4|Não há
NHT3066-15|Variáveis Complexas e Aplicações|4|0|4|Funções de Várias Variáveis
ESZE026-17|Ventilação Industrial e Ar Comprimido|2|0|4|Mecânica dos Fluidos II
ESZE088-17|Ventiladores Industriais|0|4|4|Mecânica dos Fluidos II
ESTS008-17|Vibrações|4|0|4|Álgebra Linear; Dinâmica I
MCZA030-17|Vida Artificial na Computação|2|0|4|Não há
ESZP037-14|Violência e Segurança Pública|4|0|4|Não há
NHZ1051-13|Virologia|4|0|4|Biologia Celular; Microbiologia
ESZA019-17|Visão Computacional|3|1|4|Fundamentos de Robótica
MCZA031-13|Web Semântica|4|0|4|Inteligência Artificial
