SIGLA|DISCIPLINA|T|P|I|RECOMENDAÇÃO
ESTO004-17|Instrumentação e Controle|3|1|5|Introdução às Equações Diferenciais Ordinárias; Circuitos Elétricos e Fotônica
ESZA013-17|Instrumentação e Metrologia Óptica|3|1|4|Eletromagnetismo Aplicado
ESZS003-17|Instrumentação e Sensores em Veículos Aeroespaciais|3|1|4|Aeronáutica I-A; Introdução à Astronáutica
ESZI042-17|Instrumentação em RF e Micro-Ondas|2|2|4|Métodos Experimentais em Engenharia; Transformadas em sinais e sistemas lineares; Sistemas de micro-ondas
NHT1086-16|Instrumentação para o Ensino de Ciências e Biologia|0|4|4|Não há
ESZE025-17|Integração e Otimização Energética de Processos|2|0|4|Sistemas Térmicos
MCTA014-15|Inteligência Artificial|3|1|4|Lógica Básica; Processamento da Informação
ESZA022-17|Inteligência Artificial em Robótica|3|1|4|Fundamentos de Robótica
ESZS032-17|Interação Fluido-Estrutura|4|0|4|Mecânica dos Fluidos; Dinâmica de Gases; Dinâmica II; Aeroelasticidade
MCZA008-17|Interação Humano-Computador|4|0|4|Processamento da Informação
BCK0104-15|Interações Atômicas e Moleculares|3|0|4|Transformações Químicas; Física Quântica
NHZ3021-15|Interações da Radiação com a Matéria|4|0|4|Fenômenos Eletromagnéticos; Física Quântica
NHZ2048-11|Interposições da Linguagem à Filosofia Contemporânea|4|0|4|Não há
BHQ0003-15|Interpretações do Brasil|4|0|4|Não há
MCZB013-13|Introdução à Análise Estocástica em Finanças|3|1|4|Análise no Rn I; Introdução à Modelagem e Processos Estocásticos
MCZB014-17|Introdução à Análise Funcional|4|0|4|Análise Real I; Álgebra Linear Avançada I
ESTS003-17|Introdução à Astronáutica|2|0|3|Geometria Analítica
MCZC014-15|Introdução à Bioestatística|3|1|4|Não há
ESZB007-17|Introdução à Biofotônica e Óptica Biomédica|3|1|4|Física Médica I
ESZB022-17|Introdução à Bioinformática|3|1|4|Biologia Celular; Bioquímica:estrutura, propriedade e funções de biomoléculas
ESZB035-17|Introdução à Biomecânica do Contínuo|2|2|4|Fenômenos de Transporte
ESZB005-17|Introdução à Biotecnologia|4|0|4|Biodiversidade: Interações entre organismos e ambiente; Bioquímica: estrutura, propriedade e funções de biomoléculas; Evolução e diversificação da vida na Terra.
NHZ3023-15|Introdução à Cosmologia|4|0|4|Noções de Astronomia e Cosmologia
MCZB015-13|Introdução à Criptografia|4|0|4|Matemática Discreta; Teoria Aritmética dos Números
BHO1101-15|Introdução à Economia|4|0|4|Não há
ESZC019-17|Introdução à Elaboração e Análise de Cenários Macroeconômicos|4|0|4|Macroeconomia I; Macroeconomia II; Macroeconomia III
ESZB021-17|Introdução à Engenharia Biomédica|2|0|4|Não há
MCZB016-13|Introdução à Estatística Bayesiana|3|1|4|Introdução à Inferência Estatística
MCTC001-15|Introdução à Filosofia da Mente|2|0|2|Não há
NHZ3024-15|Introdução à Física de Partículas Elementares|4|0|4|Mecânica Quântica II; Cálculo Vetorial e Tensorial
NHZ3083-15|Introdução à Física Estelar|4|0|4|Noções de Astronomia e Cosmologia
